president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant,score_PC1,score_PC2,score_PC3,score_PC4,score_PC5,president_short
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,10,2,20,21,"Over the objects and subjects intrusted to Congress its legislative authority is supreme. But here that authority ceases, and every citizen who truly loves the Constitution and desires the continuance of its existence and its blessings will resolutely and firmly resist any interference in those domestic affairs which the Constitution has dearly and unequivocally left to the exclusive authority of the States.",2,62,0.0792768670354729,0.1207940518355732,0.1000344768883244,0.1400510442058629,0.1035273700506034,-0.1117329104435296,0.0585866260658109,0.061507329418947,0.0050360808031396,0.0119386847266448,1.3076923076923077,0.0005241788625539,0.0049348253114019,"[0.07927686703547293, 0.12079405183557321, 0.10003447688832447, 0.14005104420586295, 0.10352737005060346]",0.6856319948675359,0.8752638802059546,0.817510999368122,0.968687980247725,0.0076326670026532,-0.9603796162968412,1.1979115005214611,-2.0687662440208285,10.91919173355719,12.83236899326829,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,11,2,22,23,"And every such citizen will also deprecate useless irritation among the several members of the Union and all reproach and crimination tending to alienate one portion of the country from another. The beauty of our system of government consists, and its safety and durability must consist, in avoiding mutual collisions and encroachments and in the regular separate action of all, while each is revolving in its own distinct orbit.The Constitution has made it the duty of the President to take care that the laws be faithfully executed.",2,87,0.1324990626447884,0.1255576869798891,0.1198549182397566,0.1254617391216336,0.0992535545148275,-0.0301028860147358,0.0282196422977766,0.0983232983549182,0.031199972763443,0.0896254367518893,0.9444444444444444,0.0001615002273596,0.0027338259469695,"[0.13249906264478845, 0.12555768697988917, 0.11985491823975668, 0.1254617391216336, 0.09925355451482754]",0.7966637787738462,0.8104556875479485,0.7599836926056315,0.9637301178339333,-0.0026370993417872,-3.708326514760975,1.3934620882569355,-1.4965994367054725,9.242709379718224,14.562366801974468,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,12,2,24,25,"In a government like ours, in which all laws are passed by a majority of the representatives of the people, and these representatives are chosen for such short periods that any injurious or obnoxious law can very soon be repealed, it would appear unlikely that any great numbers should be found ready to resist the execution of the laws. But it must be borne in mind that the country is extensive; that there may be local interests or prejudices rendering a law odious in one part which is not so in another, and that the thoughtless and inconsiderate, misled by their passions or their imaginations, may be induced madly to resist such laws as they disapprove.",2,116,0.1039761388093142,0.115682112265457,0.0978516096178437,0.1347534050944927,0.0827373915650411,-0.0658010961425538,-0.0153269785239769,0.0381027997966836,0.0129504567156354,-0.0043159652405457,1.75,0.0003817853796988,0.0014915801412955,"[0.1039761388093142, 0.115682112265457, 0.09785160961784374, 0.13475340509449274, 0.08273739156504119]",0.7654403077041211,0.8599901292467702,0.7927438491795766,0.9847101379060392,0.0026574462478893,-1.2058525757656189,1.121813820657191,-1.472228781620216,7.857576838944713,12.648484359487774,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,13,2,26,27,"Such persons should recollect that without law there can be no real practical liberty; that when law is trampled under foot tyranny rules, whether it appears in the form of a military despotism or of popular violence. The law is the only sure protection of the weak and the only efficient restraint upon the strong.",2,55,0.1228628780329227,0.1307607171267462,0.1036031016879187,0.1239987129591798,0.1032631645811099,0.0091613403326135,-0.043252953863067,0.0019319421681915,0.0324699265570983,0.0151819086156898,2.0,0.0001602094695587,0.0007988164067609,"[0.12286287803292277, 0.13076071712674628, 0.10360310168791875, 0.12399871295917982, 0.10326316458110993]",0.7917371865810755,0.8352810584860144,0.7456189283782841,0.9661173758348452,0.0015287891613446,-3.025996312453561,2.456719722012927,-1.9397062851826945,9.797665777917308,13.787502592019912,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,14,2,28,29,"When impartially and faithfully administered, none is beneath its protection and none above its control. You, gentlemen, and the country may be assured that to the utmost of my ability and to the extent of the power vested in me I shall at all times and in all places take care that the laws be faithfully executed.",2,57,0.1516090687949823,0.1347428182897388,0.098871723912435,0.1200901409518544,0.1150181713268903,-0.0343051008935938,0.0137825009789041,0.0267907681675736,0.0568935539591539,0.0099055450227718,1.1,0.0004012593232856,0.0010879434339076,"[0.1516090687949823, 0.13474281828973883, 0.098871723912435, 0.12009014095185444, 0.11501817132689031]",0.8272785633045001,0.7988187266167067,0.7005352183133873,0.947266475527788,-0.0019690033544692,-4.308858464951783,3.744043908819215,-3.102553267717643,10.187852994175985,14.595134143558177,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,15,2,30,31,"In the discharge of this duty, solemnly imposed upon me by the Constitution and by my oath of office, I shall shrink from no responsibility, and shall endeavor to meet events as they may arise with firmness, as well as with prudence and discretion.The appointing power is one of the most delicate with which the Executive is invested. I regard it as a sacred trust, to be exercised with the sole view of advancing the prosperity and happiness of the people.",2,81,0.1039186065452558,0.1104953422451934,0.1285151366396049,0.140172805454785,0.1252088751576315,-0.0283502229888167,0.0836846869082007,-0.0049853571207213,0.0629011162629947,-0.0167449494490395,0.9411764705882352,0.0002104294950888,0.0025515014860581,"[0.1039186065452558, 0.11049534224519346, 0.12851513663960498, 0.140172805454785, 0.12520887515763157]",0.6885795024733241,0.8017929758558877,0.833120950085561,0.9460109755831544,-0.0010169258356258,-3.5500940687707967,0.11942457604205625,-3.145377746599353,12.789186596413224,14.890404740889473,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,16,2,32,33,"It shall be my effort to elevate the standard of official employment by selecting for places of importance individuals fitted for the posts to which they are assigned by their known integrity, talents, and virtues. In so extensive a country, with so great a population, and where few persons appointed to office can be known to the appointing power, mistakes will sometimes unavoidably happen and unfortunate appointments be made notwithstanding the greatest care.",2,73,0.1071574734925659,0.1312907320673823,0.0931757304488806,0.1067945237896836,0.1009575991491632,0.0437052047051989,0.0313906507783123,0.0416602988106983,0.0938328735866363,0.1121798171831014,1.5,0.0002034744352561,0.0012960181128957,"[0.10715747349256595, 0.1312907320673823, 0.09317573044888067, 0.10679452378968361, 0.10095759914916329]",0.7856492042174901,0.8466810925840246,0.7204609718813684,0.9581439272032886,0.0040800172353268,-2.8954497406839077,2.9405806577944196,-1.5164016941142702,9.919035536064598,12.174625914532712,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,17,2,34,35,In such cases the power of removal may be properly exercised; and neglect of duty or malfeasance in office will be no more tolerated in individuals appointed by myself than in those appointed by others. I am happy in being able to say that no unfavorable change in our foreign relations has taken place since the message at the opening of the last session of Congress.,2,66,0.0931303157994025,0.1095006213696816,0.1054233269678624,0.1166337939953971,0.0878306651206399,-0.0281267131461183,0.0116700006878067,-0.0036435165839278,0.0161453519958452,0.128830373829763,3.1666666666666665,0.0001400747426341,0.0036699339485905,"[0.09313031579940256, 0.10950062136968161, 0.10542332696786247, 0.11663379399539715, 0.08783066512063992]",0.7437460254827635,0.8409101226084214,0.7981669309149482,0.9702765105732936,0.0014774975862763,-2.2035333522009064,0.5871535455830155,-1.1414149069836745,8.80542118865261,11.853726810767668,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,18,2,36,37,"We are at peace with all nations and we enjoy in an eminent degree the blessings of that peace in a prosperous and growing commerce and in all the forms of amicable national intercourse. The unexampled growth of the country, the present amount of its population, and its ample means of self-protection assure for it the respect of all nations, while it is trusted that its character for justice and a regard to the rights of other States will cause that respect to be readily and cheerfully paid.A convention was negotiated between the United States and Great Britain in April last for facilitating and protecting the construction of a ship canal between the Atlantic and Pacific oceans and for other purposes.",2,121,0.1103729481421973,0.106671507097707,0.0865029642408293,0.0892403469440811,0.0898831821701533,0.0553158639699602,0.0616479559832676,0.098756693483041,0.113152111883702,0.1234438898830329,1.3043478260869563,0.0001230844916915,0.0009342370448699,"[0.11037294814219732, 0.10667150709770708, 0.08650296424082932, 0.08924034694408119, 0.08988318217015336]",0.8110290917910169,0.8016031694488416,0.7129824688536247,0.946870305816888,-0.0009008086201949,-3.4695259870820507,2.217638455685351,-1.8392331733392444,8.262103086309985,10.41168775940879,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,19,2,38,39,"The instrument has since been ratified by the contracting parties, the exchange of ratifications has been effected, and proclamation thereof has been duly made.In addition to the stipulations contained in this convention, two other objects remain to be accomplished between the contracting powers: First. The designation and establishment of a free port at each end of the canal.Second.",2,58,0.1000939468556515,0.1115800457294476,0.0983127039984758,0.1371523305991678,0.1361131629450395,-0.0444729900614091,0.043346268667679,0.1125470716240281,0.0554720364423685,0.0245995054964192,0.6666666666666666,0.0003588060068837,0.0032180106819973,"[0.10009394685565154, 0.11158004572944769, 0.09831270399847589, 0.13715233059916782, 0.13611316294503958]",0.6856298009206426,0.8140918133068236,0.8026023856916613,0.9375066186364188,0.0022955966280923,-2.9547894134729438,2.043966668334816,-4.795635889887399,13.658677297000954,13.691992038519858,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,20,2,40,41,An agreement fixing the distance from the shore within which belligerent maritime operations shall not be carried on. On these points there is little doubt that the two Governments will come to an understanding.The company of citizens of the United States who have acquired from the State of Nicaragua the privilege of constructing a ship canal between the two oceans through the territory of that State have made progress in their preliminary arrangements.,2,73,0.0864712357083377,0.0959356414143797,0.090929611254085,0.0904979194652593,0.0688482549525306,-0.052154739897391,-0.0293354462882577,0.0486277804689584,0.0131852323840627,0.0329197618283583,1.4615384615384617,0.0001090536005699,0.0017919585444692,"[0.08647123570833774, 0.09593564141437978, 0.09092961125408502, 0.09049791946525937, 0.06884825495253062]",0.7798458615155872,0.8309200735711428,0.7673385432595756,0.9683067044129678,0.0002145680392803,-2.193726932859573,0.5472079063029358,-0.453986960153292,6.644361016330809,9.250378899433072,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,21,2,42,43,"The treaty between the United States and Great Britain of the 19th of April last, above referred to, being now in operation, it is to be hoped that the guaranties which it offers will be sufficient to secure the completion of the work with all practicable expedition. It is obvious that this result would be indefinitely postponed if any other than peaceful measures for the purpose of harmonizing conflicting claims to territory in that quarter should be adopted.",2,78,0.0921268165264264,0.090603881674789,0.0944162514624877,0.0850794110189119,0.0712585863011898,0.0237757414193134,0.0462347182954846,0.1169390719133807,0.1042036429583488,0.1491868681959269,1.3076923076923077,8.632367167983975e-05,0.0026782329470582,"[0.09212681652642646, 0.09060388167478904, 0.0944162514624877, 0.08507941101891194, 0.07125858630118985]",0.7858223110373085,0.800633633683004,0.7629428170999543,0.9564999881498614,-0.0017084057443952,-2.8793438066848887,0.34397730926530623,-0.6736712122165907,6.728583295924761,9.244197323148889,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,22,2,44,45,"It will consequently be my endeavor to cause any further negotiations on the part of this Government which may be requisite for this purpose to be so conducted as to bring them to a speedy and successful close.Some unavoidable delay has occurred, arising from distance and the difficulty of intercourse between this Government and that of Nicaragua, but as intelligence has just been received of the appointment of an envoy extraordinary and minister plenipotentiary of that Government to reside at Washington, whose arrival may soon be expected, it is hoped that no further impediments will be experienced in the prompt transaction of business between the two Governments.Citizens of the United States have undertaken the connection of the two oceans by means of a railroad across the Isthmus of Tehuantepec, under grants of the Mexican Government to a citizen of that Republic. It is understood that a thorough survey of the course of the communication is in preparation, and there is every reason to expect that it will be prosecuted with characteristic energy, especially when that Government shall have consented to such stipulations with the Government of the United States as may be necessary to impart a feeling of security to those who may embark their property in the enterprise.",2,209,0.0952742030399754,0.1067611668024099,0.0977970987263125,0.0964463244726393,0.0669710057366606,-0.0463461340123708,0.0070184182178386,0.022880787862767,0.0130215650489486,0.0357165411174494,1.6451612903225807,0.0002265817303222,0.000989360303189,"[0.09527420303997544, 0.10676116680240992, 0.09779709872631256, 0.09644632447263932, 0.06697100573666069]",0.7969994450419695,0.8372026795535025,0.753816913495269,0.9723602898631154,0.00058791033811,-2.22424270017544,0.7028982788512028,0.09464919249830839,6.40192129287078,10.256019328389305,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,23,2,46,47,"Negotiations are pending for the accomplishment of that object, and a hope is confidently entertained that when the Government of Mexico shall become duly sensible of the advantages which that country can not fail to derive from the work, and learn that the Government of the United States desires that the right of sovereignty of Mexico in the Isthmus shall remain unimpaired, the stipulations referred to will be agreed to with alacrity.By the last advices from Mexico it would appear, however, that that Government entertains strong objections to some of the stipulations which the parties concerned in the project of the railroad deem necessary for their protection and security. Further consideration, it is to be hoped, or some modification of terms, may yet reconcile the differences existing between the two Governments in this respect.Fresh instructions have recently been given to the minister of the United States in Mexico, who is prosecuting the subject with promptitude and ability.Although the negotiations with Portugal for the payment of claims of citizens of the United States against that Government have not yet resulted in a formal treaty, yet a proposition, made by the Government of Portugal for the final adjustment and payment of those claims, has recently been accepted on the part of the United States.",2,212,0.0873104120064577,0.1000909908520633,0.0977894540522445,0.1008737504192549,0.0790555125469535,0.0173291775546395,0.0655193507826552,0.0762492718866531,0.0925940522864243,0.1033347352480537,1.4210526315789471,9.05085557886961e-05,0.0011124969023684,"[0.08731041200645777, 0.10009099085206333, 0.09778945405224457, 0.1008737504192549, 0.07905551254695359]",0.7545410811913568,0.8326204622541961,0.787284767747408,0.9668344170176592,0.0005885836674802,-2.288746818091451,0.4755870696969462,-0.8620502192449919,7.843944635559958,10.303889382582067,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,24,2,48,49,"It gives me pleasure to say that Mr. Clay, to whom the negotiation on the part of the United States had been intrusted, discharged the duties of his appointment with ability and discretion, acting always within the instructions of his Government.It is expected that a regular convention will be immediately negotiated for carrying the agreement between the two Governments into effect. The commissioner appointed under the act of Congress for carrying into effect the convention with Brazil of the 27th of January, 1849, has entered upon the performance of the duties imposed upon him by that act.",2,97,0.0842071473560538,0.0895454968670182,0.0793882770068299,0.1054645678357944,0.0775892254802247,-0.1625672459263226,-0.0327658614402167,0.0006226847354391,-0.030572311068814,0.0496840143101506,1.6,0.0001253588452427,0.0061845710730158,"[0.08420714735605389, 0.08954549686701828, 0.07938827700682993, 0.10546456783579443, 0.0775892254802247]",0.7507634913029421,0.8408986860518012,0.7970187969975748,0.9726496996153032,0.0008630426367649,-1.4500762343021223,0.849717358455403,-1.990041762161578,7.366450918784918,9.362301058816316,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,25,2,50,51,"It is hoped that those duties may be completed within the time which it prescribes. The documents, however, which the Imperial Government, by the third article of the convention, stipulates to furnish to the Government of the United States have not yet been received.",2,44,0.0837312009579197,0.0939765509208346,0.0813932598454767,0.1040808361592426,0.0775341685196306,-0.1138051887743896,0.0962168778145945,-0.0013283681680997,0.0971069008096868,0.0161990110381766,1.2857142857142858,0.0001164038014745,0.0075303414557843,"[0.08373120095791971, 0.09397655092083469, 0.08139325984547675, 0.10408083615924267, 0.07753416851963066]",0.7539087739105099,0.8468420946494849,0.7896792314279885,0.9733931359325004,0.0014104719923846,-1.5102695527003323,0.9505767355942232,-1.6795490471002887,7.464044051989377,9.48360071582151,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,26,2,52,53,"As it is presumed that those documents will be essential for the correct disposition of the claims, it may become necessary for Congress to extend the period limited for the duration of the commission. The sum stipulated by the fourth article of the convention to be paid to this Government has been received.The collection in the ports of the United States of discriminating duties upon the vessels of Chili and their cargoes has been suspended, pursuant to the provisions of the act of Congress of the 24th of May, 1828.",2,90,0.085362843823444,0.1062189375878771,0.074840970565493,0.0993219700147452,0.0941418817349782,-0.1413704160633828,-0.0040870736117191,-0.0408412648865407,-0.0106651829971245,-0.0514302405120586,1.125,0.0001497146624736,0.003022297463442,"[0.085362843823444, 0.1062189375878771, 0.07484097056549308, 0.09932197001474524, 0.09414188173497821]",0.750996443346261,0.849101680887204,0.7477343680610664,0.956148862968209,0.0033627464630979,-2.0133652818287544,2.344935771338837,-2.329550389483638,9.272787208529714,9.729845242146821,Fillmore
Millard Fillmore,First Annual Message,First Annual Message,1850-12-02,Written,27,2,54,55,"It is to be hoped that this measure will impart a fresh impulse to the commerce between the two countries, which of late, and especially since our acquisition of California, has, to the mutual advantage of the parties, been much augmented.Peruvian guano has become so desirable an article to the agricultural interest of the United States that it is the duty of the Government to employ all the means properly in its power for the purpose of causing that article to be imported into the country at a reasonable price. Nothing will be omitted on my part toward accomplishing this desirable end.",2,102,0.0983126719221758,0.1199789850384818,0.1093219286341053,0.087442135281048,0.088696783032982,-0.0026422495243148,0.0240776073233973,0.0326130036940954,0.0416214073342592,0.1003358395347597,1.4375,0.0001928879239138,0.0014415758021654,"[0.09831267192217588, 0.11997898503848185, 0.10932192863410536, 0.08744213528104804, 0.08869678303298201]",0.777945727020174,0.8164266176711491,0.7277626321347572,0.9455470492466108,0.0009629111956098,-3.7312397115355913,1.3536015848750456,-0.04281085754364611,9.003497654082754,11.23375438400173,Fillmore
